id,order_id,datetime,name,variation_name,quantity,base,total,type
l81m7ES26VmumujguucGqrOwvaB,qN8lD0v5XKIcu7rCJxerxz2eV,2024-09-08 13:32:52.979,,,1,5.0,5.0,Physical
dS0JehFUxt78q1qDl0R0Og0PQlTZY,Mgtjvk33WsnAaPXFJkCBvk7AGqDZY,2024-09-07 17:01:52.289,,,1,5.0,5.0,Physical
rFCT952QctQGUBe3irTKOQuAvaB,oMMj4lmnsLrSUBOMmpz2daveV,2024-09-07 15:47:01.072,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
pipTdMREdUMAzl8sMyvQP9druaB,SrpX2Gm1qGT4ZQoMWQPmNn5eV,2024-09-07 12:33:15.011,,,1,10.0,10.0,Physical
FyWnCPcl9ldZNYOgjJS1JgLuuaB,OtXvbqlJh00Qtepy7j0A3y9eV,2024-09-07 12:30:22.274,,,1,5.0,5.0,Physical
nZ7qTKtAYesjygZJiG0ktbM8vaB,iXDtlnV8BWBkNHe580TggdpeV,2024-09-06 15:50:36.809,,,1,5.0,5.0,Physical
3DAYNa56TT1CUFfLUXa9LUypvaB,qHLmHsFoUzntjKkqMVImN5feV,2024-09-05 19:16:27.099,,,1,5.0,5.0,Physical
D9Kmk0kf9G9v0BYllm5pr76ivaB,O7OZivKxR8xUaRS8SvAjjPyeV,2024-08-31 15:16:25.523,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
VGI3T9ma7NIJuz9wrEifmoz69o6YY,04V8WGr7PdAOa9d2y7Q1qcTzBeIZY,2024-08-31 14:47:08.855,,,1,5.0,5.0,Physical
TNq63ok7UKYIzch1O5f3JFeZuaB,cU1WVRzcYDvm8yfSlyOqYa1eV,2024-08-31 14:21:28.758,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
TNq63ok7UKYIzch1O5f3JFeZuaB,cU1WVRzcYDvm8yfSlyOqYa1eV,2024-08-31 14:21:28.758,Enhypen-Romance : Untold,Regular,1,39.95,39.95,Physical
puZ8J1NMIoANtLRPYdvIPdMOvaB,u3q4MVK6W3mtdfrrkRQdC3teV,2024-08-30 16:20:09.853,ATEEZ [GOLDEN HOUR: Part 1],Golden Hour : Part.1 10th Mini Album+Extra Photocards Set,1,39.95,39.95,Physical
puZ8J1NMIoANtLRPYdvIPdMOvaB,u3q4MVK6W3mtdfrrkRQdC3teV,2024-08-30 16:20:09.853,"Stray Kids Rock-Star (Rock, Roll Ver.)",Regular,1,37.95,37.95,Physical
nDAm1ubifyGyTy92VI9rdq5quaB,EKi4dqrZo2199O4MxaNWMoxeV,2024-08-29 12:32:54.367,,,1,5.0,5.0,Physical
Be3AI5WgsqNBp4U0rLCqhxZe1h8YY,a7HL7cfqvAhqyavKaaT7jn2nRgCZY,2024-08-25 14:58:22.550,Enhypen-Romance : Untold,Regular,1,39.95,39.95,Physical
vj8FD7lPvHhBIZNGRSU2uoKFUZ9YY,4o0OxamlRzrtAd34dtlWl5hpc2eZY,2024-08-25 11:37:29.474,,,1,5.0,5.0,Physical
vNJrGmtCUg5P7CAVS0cEcdHhuaB,MSWZL9OBVkLqyZaHiGb7oR8eV,2024-08-24 15:33:31.149,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95,Physical
HT8mW6qQ5gi3C8xaftQCBgMkvaB,s4jgAwz6MldGo5YWfqYh3YpeV,2024-08-24 15:31:54.744,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95,Physical
jPfwUcaeTodVcbls7oB5mhWguaB,WVlhxK0VRxv9j0FPXlRiEbteV,2024-08-24 11:49:07.725,Twice With You-th (Random Ver.),Regular,1,35.95,35.95,Physical
71Y4TXOH0jzOxmNz0IDOZ1IKfp9YY,cawilfA7zBHZsB68RDKG7ZnU5BKZY,2024-08-22 16:37:48.847,Stray Kids ATE (Accordion Ver.),Regular,1,38.95,32.0,Physical
FYND3v4LYgxmh7VlOwbx7Sn2uaB,kwvPSNeAlKXBssNived9XVAfV,2024-08-22 11:56:45.395,Stray Kids ATE (Accordion Ver.),Regular,1,38.95,38.95,Physical
3JtLY2A7cOjkaa9CJC2qcCsDuaB,IAEcrhzbpYI7fzJVh4IKkAseV,2024-08-21 16:06:43.297,ATEEZ [GOLDEN HOUR: Part 1],Golden Hour : Part.1 10th Mini Album+Extra Photocards Set,1,39.95,39.95,Physical
rDh73Slscah5YGcTcThKElFBwaB,ul5Yw6oIa1GmbPj7SsGSyhweV,2024-08-20 14:30:52.704,"Stray Kids Rock-Star (Rock, Roll Ver.)",Regular,1,37.95,37.95,Physical
Z0sg0Hd4MlbAOzSS6XOttQcAvaB,42PGPojOsEmXsh4Dhi6eZ0geV,2024-08-18 16:42:21.683,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,42.0,Physical
fvCnpzOMF8aNmTsGogGl0C1guaB,ulnfAc7IgSsbV4vpJ3Yr8DmeV,2024-08-18 16:13:48.984,Ateez The World EP.FIN : Will (Platform Ver.),Regular,1,23.95,23.95,Physical
1YNttNoMwo6CBwDB1UWpGuKgrUCZY,SjV97D5BoGhBdPCDGzEhJk2T6VYZY,2024-08-18 15:05:42.747,,,1,5.0,5.0,Physical
dCwfYPIGGzal2OYSz9iqYyXPr2IZY,OLoAT8YMJgAS9pbxImqLdMw9MCJZY,2024-08-18 15:02:02.784,,,1,10.0,10.0,Physical
p4KaXkEKm6zdQFKOn0b0oZlsxeJZY,q96UGGLjsq7pfkPyTSEPpemqVYEZY,2024-08-18 14:54:42.707,,,1,10.0,10.0,Physical
vBJG4JtIhYO9nSgDNdPTjbYOuaB,EqmIqLFoDSBkT2KOFc81KYgeV,2024-08-18 14:45:19.533,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95,Physical
H1fFLf4ckJMDj9inw4FsGT4DuRHZY,wuLbPalbOZM4qrDz1ENqVmktyfdZY,2024-08-18 13:10:22.502,,,1,5.0,5.0,Physical
9kXQBreoW5ASBQ5jTDXQI8WOWcFZY,qpeJrDuQ1QY2EoA935RAHN7FfgEZY,2024-08-18 12:56:01.647,,,1,10.0,10.0,Physical
9kXQBreoW5ASBQ5jTDXQI8WOWcFZY,qpeJrDuQ1QY2EoA935RAHN7FfgEZY,2024-08-18 12:56:01.647,,,1,5.0,5.0,Physical
d68DgeHGr6Iq7OxsP47TzsetuaB,wmbDNKneu7wm4hCJUUNUCnoeV,2024-08-18 12:20:43.819,,,2,5.0,10.0,Physical
liC5UVRLd1DZDDnNc3G8146Dh2MZY,SVa5vfjJINV5pvXKe3VGJRlHxrDZY,2024-08-18 11:47:49.556,,,1,10.0,10.0,Physical
DnVvVfduIvvi7qTaVywqjc8zvaB,635V2N8JSyeGFsmSFYFeMGreV,2024-08-17 16:34:48.116,Zerobaseone 3rd Mini Album [You Had Me at Hello] (Random),Regular,1,39.95,39.95,Physical
7NYggGOZVGnlBM5oE6HnhUrrvaB,MmAboDEzFXp4T64XmE5yZNleV,2024-08-16 16:21:40.468,,,1,5.0,5.0,Physical
9EbEm3el5elPWxJZSr5oftVcuaB,GrOydtPkNv2vsj3MSGpgjoreV,2024-08-16 14:56:07.044,,,1,5.0,5.0,Physical
jFi6zqGLGY7oRqJAzEmEt24TnYGZY,qtwbyiZOCRXrYHScvhX9TPRmYWPZY,2024-08-16 11:38:10.833,Enhypen-Romance : Untold,Regular,1,39.95,39.95,Physical
BShw4Fnk9boOtwyzPBXrBzIKvaB,gw60QMakDR2mef0eUwGlP4meV,2024-08-16 11:11:26.775,BTS Jimin Face (Random Ver.),Regular,1,39.95,39.95,Physical
PLshM5wQDn0RJXNUCJdDLt6IuaB,GzGADnN8J1cE0LQaCiqnRp2eV,2024-08-15 19:49:10.209,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95,Physical
rL7EE382CUWV5uOeYeMBz5bAwaB,ISPnyuRQ3KtbbFi6KrzyEbkeV,2024-08-15 17:56:29.511,Enhypen-Romance : Untold,Regular,1,39.95,39.95,Physical
rL7EE382CUWV5uOeYeMBz5bAwaB,ISPnyuRQ3KtbbFi6KrzyEbkeV,2024-08-15 17:56:29.511,NCT Wish - Wish (Photobook Ver.),Photobook Version,1,33.95,33.95,Physical
bF04WEF33flOOKWoijULMae3uaB,EGqD4Y4PSIgOTQ5t2xVqiEfeV,2024-08-15 16:11:51.912,,,1,10.0,10.0,Physical
HzGBfxLmPCVbTwVWtAAEUyQXuaB,KJOd2jiGtTGyLEMJw5bLdGqeV,2024-08-14 16:40:02.680,Ateez The World EP.FIN : Will (Platform Ver.),Regular,1,23.95,23.95,Physical
VmOki0KdoLcCUTjWmzPSzrVVvaB,YKt8DY0RIcaCMRGzMKwuvDpeV,2024-08-14 16:35:55.268,Ateez The World EP.FIN : Will (Platform Ver.),Regular,1,23.95,23.95,Physical
94dO3wZrzA5C5Q2IE6gTDkMjuaB,K5CzUq36IhxbsLWr1ymUc3veV,2024-08-12 13:41:51.037,,,1,10.0,10.0,Physical
94Zu0iPp449T5kxwTmHhJNvJuaB,I0MfXQlrsPXl8Wl6TLClpi1eV,2024-08-11 15:48:31.883,Enhypen-Romance : Untold,Regular,1,39.95,39.95,Physical
7VEqpdOnFVVIXtWMMJ48V8PfuaB,yZWSIoSQepwEzObttQ7TG7geV,2024-08-11 14:45:02.875,Enhypen-Romance : Untold,Regular,1,39.95,39.95,Physical
7VEqpdOnFVVIXtWMMJ48V8PfuaB,yZWSIoSQepwEzObttQ7TG7geV,2024-08-11 14:45:02.875,"Stray Kids - ATE (Chk Chk Ver., Boom Ver.)",Ate Limited Edition Ate Version CD+PO Benefit,1,39.95,39.95,Physical
F0pwOnxIlq7X0tFk1pREjgWIvaB,IaHD368ZJX8parLmp1EzaJjeV,2024-08-11 11:49:24.472,,,1,15.95,15.95,Physical
VY91VKjkC6VdCZvswVKvyKoWGmeZY,AGFKGIsF04SLxU2M4jLT3uP0CbLZY,2024-08-10 16:55:27.704,,,1,5.0,5.0,Physical
vNVhYTf7uc3suJ1apNVwfOMlvaB,2TaQLrEy6p4q8FU9cfyJDuyeV,2024-08-10 16:13:40.900,,,1,18.45,18.45,Physical
VSIE9GCUK47SxR2bYSZIDIzPuaB,gs6jjOIIeYXZumj4xjArQi0eV,2024-08-10 15:36:16.618,Enhypen-Romance : Untold,Regular,1,39.95,39.95,Physical
pOJUVLyPjx8ZMKEHILQ5tK66uaB,wMWlo8dfGxQrxrVVSRnsOs4eV,2024-08-10 15:15:56.846,BTS Butter (Random Ver.),BTS,1,37.95,37.95,Physical
pOJUVLyPjx8ZMKEHILQ5tK66uaB,wMWlo8dfGxQrxrVVSRnsOs4eV,2024-08-10 15:15:56.846,BTS Map of the Soul: Persona (Random Ver.),Regular,1,35.95,35.95,Physical
pOJUVLyPjx8ZMKEHILQ5tK66uaB,wMWlo8dfGxQrxrVVSRnsOs4eV,2024-08-10 15:15:56.846,Paper Bag,Regular,1,1.0,1.0,Physical
Rq7vFUEBKMJuNXtxIKmGzUSoIR7YY,Wn4wFLPJDwKfvHZRjsrEkbL7m8LZY,2024-08-10 14:53:59.022,"Stray Kids - ATE (Chk Chk Ver., Boom Ver.)",Ate Limited Edition Ate Version CD+PO Benefit,1,39.95,39.95,Physical
deqh2buzuqA8H7vptCJHEZcjfvLZY,qrJo4Hc0GAXM1ErmqRlxeEHV7qXZY,2024-08-10 13:07:43.904,Stray Kids - I am Not (Random Version),Regular,1,35.95,35.95,Physical
deqh2buzuqA8H7vptCJHEZcjfvLZY,qrJo4Hc0GAXM1ErmqRlxeEHV7qXZY,2024-08-10 13:07:43.904,Stray Kids ATE (Accordion Ver.),Regular,1,38.95,38.95,Physical
deqh2buzuqA8H7vptCJHEZcjfvLZY,qrJo4Hc0GAXM1ErmqRlxeEHV7qXZY,2024-08-10 13:07:43.904,Paper Bag,Regular,1,1.0,1.0,Physical
3n4h2tjcvGD5awISV8SozH6KyDNZY,AGDxkNqSuH6x1irhi3md5TLSW5XZY,2024-08-10 12:59:15.720,"Stray Kids - ATE (Chk Chk Ver., Boom Ver.)",Ate Limited Edition Ate Version CD+PO Benefit,1,39.95,39.95,Physical
DrVkuiX6swttQbD3YOIiJYueCq6YY,0oDVDHiCEF70QgrNzFIlepZxsRdZY,2024-08-10 12:58:12.650,Enhypen-Romance : Untold,Regular,1,39.95,39.95,Physical
x6Z6DmJnE02n2b0MlkfdqlgDvaB,cgf8Nys6O0kYrFiN6bOfzP5eV,2024-08-10 12:28:10.941,ATEEZ [GOLDEN HOUR: Part 1],Golden Hour : Part.1 10th Mini Album+Extra Photocards Set,1,39.95,39.95,Physical
zRgw7GPcGtyrOVHkHzW2zYsGuaB,kqQLxkHzoe7bVnwGg1ZDTQyeV,2024-08-10 10:01:55.408,Le Sserafim Easy (Random Ver.),Regular,1,36.95,36.95,Physical
bdcSMa2C1mvY6ARnTzFW8eBUuaB,gaPkoKhEASD2nCpH66uZ3akeV,2024-08-09 14:16:54.826,,,1,39.95,39.95,Physical
3ldQWoKuo8NYZ9B7s851BUeIvaB,IiLLHIyW3mIH1JdO7XpVX8neV,2024-08-07 15:06:54.373,"Stray Kids - ATE (Chk Chk Ver., Boom Ver.)",Ate Limited Edition Ate Version CD+PO Benefit,1,39.95,39.95,Physical
hC3ND8fDEwJpIsBtpBbc7h1isWOZY,GjOKl5Y5X7j0Tsu8VqU0s5bz9T9YY,2024-08-07 12:06:34.065,,,1,5.0,5.0,Physical
D37c4lJ1XMMzgzvzVOaUEMWATQJZY,s8rlobJZTUae6zk2D0wrU96GeVMZY,2024-08-05 14:13:25.510,Twice With You-th (Random Ver.),Regular,1,35.95,35.95,Physical
1gVx2166ZeTdWdgF2vawncmVuaB,KjHfstVs4yiqqXdRKBpCIt4eV,2024-08-04 12:52:12.813,,,1,1.0,1.0,Physical
1gVx2166ZeTdWdgF2vawncmVuaB,KjHfstVs4yiqqXdRKBpCIt4eV,2024-08-04 12:52:12.813,Nayeon (Twice) - NA (Random Ver.),Regular,1,39.95,39.95,Physical
7jRxfjyjK25QDo52YoHkor8quaB,YqDz7VPxdV4KNq1xHrpt0E6eV,2024-08-04 12:10:48.254,NCT127 - Fact Check (Photobook Ver.),Photobook Version,1,35.95,35.95,Physical
JGpCr8tVhMJ7IkLCabyqFFHFvaB,kABIkZAoEs24L4hZ7KJyWsgeV,2024-08-03 15:51:51.408,,,1,5.0,5.0,Physical
B86EF7Bbd5J32zkxGBaL5mIVrJaZY,mZRsQ0ukCij8WfLuoMRCiRZxfYQZY,2024-08-03 15:01:11.569,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
TZi3L5mwRqppn5ODBwBB4SvQFSdZY,Ms5CxwWuqsMF9rZwUmcGVxC3r7FZY,2024-08-02 16:25:33.675,Aespa Drama (Giant Ver.),Regular,1,36.95,36.95,Physical
TZi3L5mwRqppn5ODBwBB4SvQFSdZY,Ms5CxwWuqsMF9rZwUmcGVxC3r7FZY,2024-08-02 16:25:33.675,Nayeon (Twice) - NA (Random Ver.),Regular,1,39.95,39.95,Physical
TZi3L5mwRqppn5ODBwBB4SvQFSdZY,Ms5CxwWuqsMF9rZwUmcGVxC3r7FZY,2024-08-02 16:25:33.675,Le Sserafim Easy (Random Ver.),Regular,1,36.95,36.95,Physical
nVftlbttaBzMh1wWFogwYI6YvaB,Q2FWSJIfQdVsr5ozb7RydnkeV,2024-08-02 15:37:33.455,Nayeon (Twice) - NA (Random Ver.),Regular,1,39.95,39.95,Physical
HJLc0YVEaOB9lBU6j5y3OnJp3pYZY,EUHO4OL2VKPYdvnOpgQHtrxD3TaZY,2024-07-31 16:29:03.225,,,1,15.0,15.0,Physical
TV6mWaC7yyXVrp22eaTHZ8EUvaB,8AVp0YE1ArdAHjhHd3ErFh6eV,2024-07-31 14:02:25.320,BTS JungKook Golden (Random Ver.),Jungkook BTS,1,39.95,39.95,Physical
PTwzTKxGsXrFcPtjXPmYrc8OjwNZY,AoczYKvTmsYfb0hp1iytDT1eyBBZY,2024-07-31 10:36:13.865,,,1,31.5,31.5,Physical
xwGnfNKRISnT6cO2UJT6ZE7WQnRZY,GNPAQJZzNOsIfRMviDQDCV9iCNZZY,2024-07-28 11:49:44.546,,,1,28.0,28.0,Physical
B8ieQnrwlfkaEze6NpbzaawyMWGZY,ufe23hNIZIu2dLPWnsWyoGHxWh9YY,2024-07-28 11:49:27.685,,,1,29.0,29.0,Physical
l20zpQq750qjlQZxeWxR68S4u09YY,8CKJTUJ9qCzjNedxu9NT6Dhx1G9YY,2024-07-28 11:49:09.721,,,1,30.0,30.0,Physical
nr4qiA9fM7uZpl4I67qCSq4cwaUZY,WPgU1bWSSAvBgcXnUs47DIPuldcZY,2024-07-28 11:48:51.766,,,1,30.5,30.5,Physical
zRGTpZVTMBWh2D5Vrtz7vYBiO1TZY,Eyg5nqsWbeZqEitMy4k1xGUAH7BZY,2024-07-28 11:47:52.777,,,1,31.5,31.5,Physical
PJJatNTPfGn1IBHNq4RHDL6ro0GZY,c4vAUhsbWHylwnevv7W7kV9Tl3PZY,2024-07-28 11:24:55.776,,,1,31.5,31.5,Physical
DdWU2N4pY4tg7sQ0PoyzIEOCb5YZY,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,2024-07-28 11:16:15.762,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
